,Sold_Date,latitude,longitude,year,quarter,Sold_Price
193,1999-01-11 00:00:00+00:00,-33.82254678,151.18211731,1999,1,690000.0
194,1999-01-12 00:00:00+00:00,-33.78347124,151.06425915,1999,1,195000.0
195,1999-02-11 00:00:00+00:00,-30.03366353,153.19818928,1999,1,157000.0
196,1999-02-19 00:00:00+00:00,-33.80432473,151.20259443,1999,1,372500.0
197,1999-02-19 00:00:00+00:00,-33.70207127,151.10909906,1999,1,217500.0
198,1999-02-22 00:00:00+00:00,-34.05076487,150.74570767,1999,1,235000.0
199,1999-02-27 00:00:00+00:00,-33.67804086,151.30851373,1999,1,776600.0
200,1999-03-05 00:00:00+00:00,-33.75295334,150.68802939,1999,1,180000.0
201,1999-03-16 00:00:00+00:00,-33.09413608,151.65785351,1999,1,210000.0
202,1999-04-01 00:00:00+00:00,-33.7611505,151.26054498,1999,2,382500.0
203,1999-04-08 00:00:00+00:00,-35.35520131,149.24039081,1999,2,48000.0
204,1999-04-13 00:00:00+00:00,-33.43598484,151.38576658,1999,2,410000.0
205,1999-04-15 00:00:00+00:00,-33.73023152,150.93088731,1999,2,329900.0
206,1999-05-07 00:00:00+00:00,-34.42012024,150.89943961,1999,2,96000.0
207,1999-05-12 00:00:00+00:00,-33.92996878,151.23746608,1999,2,445000.0
208,1999-05-21 00:00:00+00:00,-34.21972987,150.58379616,1999,2,68000.0
209,1999-05-24 00:00:00+00:00,-33.96524952,151.10423418,1999,2,336000.0
210,1999-07-08 00:00:00+00:00,-33.74944651,150.99320626,1999,3,320000.0
211,1999-07-27 00:00:00+00:00,-32.91834767,151.70967303,1999,3,205000.0
212,1999-07-28 00:00:00+00:00,-33.8361288,151.2151953,1999,3,296000.0
213,1999-07-31 00:00:00+00:00,-35.12644935,147.32430231,1999,3,63000.0
214,1999-09-01 00:00:00+00:00,-34.05579673,150.75090398,1999,3,284990.0
215,1999-09-09 00:00:00+00:00,-33.26558715,149.11013795,1999,3,43750.0
216,1999-09-22 00:00:00+00:00,-34.09639407,150.82114178,1999,3,122000.0
217,1999-10-01 00:00:00+00:00,-33.81154919,151.21730511,1999,4,325000.0
218,1999-11-05 00:00:00+00:00,-34.11071461,150.79265816,1999,4,121000.0
219,1999-11-09 00:00:00+00:00,-33.88919776,151.22902621,1999,4,596000.0
220,1999-11-12 00:00:00+00:00,-33.7393962,151.15163303,1999,4,240000.0
221,1999-11-26 00:00:00+00:00,-33.82049074,151.15277909,1999,4,535000.0
222,1999-12-02 00:00:00+00:00,-33.77938243,150.92408552,1999,4,168000.0
223,1999-12-06 00:00:00+00:00,-28.66369038,153.61209946,1999,4,138000.0
224,1999-12-22 00:00:00+00:00,-33.8739458,151.18406136,1999,4,432500.0
225,1999-12-24 00:00:00+00:00,-31.95963746,152.5838094,1999,4,118500.0
226,2000-01-12 00:00:00+00:00,-33.99530905,150.87500111,2000,1,183400.0
227,2000-01-14 00:00:00+00:00,-32.91546906,151.58607896,2000,1,155000.0
228,2000-01-17 00:00:00+00:00,-32.77808234,152.09290351,2000,1,87000.0
229,2000-01-25 00:00:00+00:00,-33.90786356,151.12388887,2000,1,330000.0
230,2000-02-07 00:00:00+00:00,-32.74694501,151.76502096,2000,1,95000.0
231,2000-02-16 00:00:00+00:00,-33.915766,151.14610958,2000,1,179000.0
232,2000-03-09 00:00:00+00:00,-34.43185376,150.86047337,2000,1,177000.0
233,2000-03-17 00:00:00+00:00,-33.49616,151.32908586,2000,1,265000.0
234,2000-03-25 00:00:00+00:00,-33.80110411,151.09944571,2000,1,680000.0
235,2000-03-27 00:00:00+00:00,-34.04014436,150.84846717,2000,1,156000.0
236,2000-04-04 00:00:00+00:00,-33.79893889,151.00077159,2000,2,150500.0
237,2000-04-05 00:00:00+00:00,-33.87776549,151.10320658,2000,2,325000.0
238,2000-04-14 00:00:00+00:00,-33.67973457,150.60430198,2000,2,215000.0
239,2000-04-18 00:00:00+00:00,-29.1158913,152.53089173,2000,2,20000.0
240,2000-04-19 00:00:00+00:00,-30.99168259,150.24810661,2000,2,70000.0
241,2000-04-20 00:00:00+00:00,-32.78221931,152.1103344,2000,2,280000.0
242,2000-05-09 00:00:00+00:00,-35.38745705,149.20778184,2000,2,152000.0
243,2000-05-16 00:00:00+00:00,-33.87146364,151.2405088,2000,2,1535000.0
244,2000-06-13 00:00:00+00:00,-33.35170908,151.43423206,2000,2,148000.0
245,2000-07-14 00:00:00+00:00,-34.03340891,151.02517489,2000,3,265000.0
246,2000-07-25 00:00:00+00:00,-33.74538714,151.26781529,2000,3,450000.0
247,2000-07-27 00:00:00+00:00,-33.18691275,151.56921861,2000,3,156000.0
248,2000-08-12 00:00:00+00:00,-32.72070585,152.17519999,2000,3,196000.0
249,2000-08-15 00:00:00+00:00,-33.96676187,151.08532105,2000,3,231000.0
250,2000-08-16 00:00:00+00:00,-33.12048039,151.52923305,2000,3,248000.0
251,2000-08-31 00:00:00+00:00,-34.38754951,150.8793355,2000,3,257000.0
252,2000-09-04 00:00:00+00:00,-33.78046226,150.76917567,2000,3,227000.0
253,2000-09-07 00:00:00+00:00,-33.98366437,150.88638765,2000,3,215000.0
254,2000-09-14 00:00:00+00:00,-33.80237347,151.18432275,2000,3,279000.0
255,2000-10-06 00:00:00+00:00,-33.81642231,151.08879387,2000,4,192500.0
256,2000-11-21 00:00:00+00:00,-32.91208468,151.70567681,2000,4,169000.0
257,2000-12-04 00:00:00+00:00,-33.0259724,151.65850434,2000,4,240000.0
258,2000-12-19 00:00:00+00:00,-33.85995725,151.10236434,2000,4,580000.0
259,2000-12-20 00:00:00+00:00,-33.88323764,151.20893622,2000,4,278000.0
260,2000-12-21 00:00:00+00:00,-29.54313249,150.57715962,2000,4,43000.0
261,2000-12-27 00:00:00+00:00,-33.90671462,151.05954845,2000,4,251500.0
262,2001-01-08 00:00:00+00:00,-33.89413471,150.94234525,2001,1,115000.0
263,2001-01-11 00:00:00+00:00,-33.69302009,151.10529695,2001,1,335000.0
264,2001-02-12 00:00:00+00:00,-28.49364699,153.5487915,2001,1,84500.0
265,2001-02-13 00:00:00+00:00,-34.57096006,150.76757447,2001,1,210000.0
266,2001-02-16 00:00:00+00:00,-33.81879687,150.99589495,2001,1,102000.0
267,2001-03-08 00:00:00+00:00,-33.85405204,150.88470805,2001,1,400000.0
268,2001-03-22 00:00:00+00:00,-33.66830974,150.97844848,2001,1,570000.0
269,2001-04-17 00:00:00+00:00,-33.09750132,151.46137657,2001,2,158000.0
270,2001-04-17 00:00:00+00:00,-32.99331923,151.5827921,2001,2,143000.0
271,2001-04-30 00:00:00+00:00,-32.78393762,152.08828258,2001,2,189000.0
272,2001-05-16 00:00:00+00:00,-33.7902723,150.90774556,2001,2,235000.0
273,2001-05-22 00:00:00+00:00,-28.81470852,153.3125225,2001,2,65000.0
274,2001-05-31 00:00:00+00:00,-35.38117867,149.21432756,2001,2,79000.0
275,2001-05-31 00:00:00+00:00,-33.6946111,151.08902937,2001,2,280000.0
276,2001-06-20 00:00:00+00:00,-32.2547386,148.62381707,2001,2,143500.0
277,2001-07-05 00:00:00+00:00,-33.42211912,151.34119304,2001,3,219000.0
278,2001-07-06 00:00:00+00:00,-28.25651563,153.57711605,2001,3,225000.0
279,2001-07-09 00:00:00+00:00,-31.94835004,141.4778996,2001,3,378500.0
280,2001-07-13 00:00:00+00:00,-33.62701596,151.32194554,2001,3,685000.0
281,2001-07-25 00:00:00+00:00,-28.49074484,153.54841773,2001,3,120000.0
282,2001-08-01 00:00:00+00:00,-34.0382057,151.10189557,2001,3,205000.0
283,2001-08-04 00:00:00+00:00,-33.86670586,151.19388249,2001,3,1617000.0
284,2001-08-04 00:00:00+00:00,-33.71725612,150.72463153,2001,3,254000.0
285,2001-08-15 00:00:00+00:00,-33.87401981,151.27960641,2001,3,2660000.0
286,2001-08-20 00:00:00+00:00,-33.75211521,151.23982075,2001,3,211200.0
287,2001-08-23 00:00:00+00:00,-33.76223839,150.99029671,2001,3,315000.0
288,2001-08-29 00:00:00+00:00,-34.01296522,151.0507313,2001,3,550000.0
289,2001-09-03 00:00:00+00:00,-33.77896174,150.88816881,2001,3,189000.0
290,2001-09-07 00:00:00+00:00,-34.55985403,150.86062681,2001,3,179990.0
291,2001-09-20 00:00:00+00:00,-32.54468782,151.16377076,2001,3,82000.0
292,2001-10-08 00:00:00+00:00,-33.79092731,150.94711943,2001,4,255000.0
